"idpub","brdxdy","sexrsp","deatyr","POP57","PI5760","DGLEV","EDYRCM","YRER74","RU024REC","MZ023RER","GI503RE","gu024re","IZ023RER","HD201KD","hi503rea","HU024RE","jz023rer","q1i503rea","Q1U024RE","q1c003re","q1z023rer"
900018,1939,1,1963,3,-3,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900021,1938,1,-2,9,26,3,-3,-3,0,3,8,0,2,4,6,-2,2,6,-2,1,0
900024,1939,2,-2,3,64,-2,-2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900026,1939,1,-2,4,49,4,9,250,5,6,6,5,6,3,6,-2,1,3,-2,3,0
900034,1938,1,-2,2,34,-2,-2,75,-2,NA,-2,-2,NA,2,-2,-2,1,NA,NA,NA,NA
900035,1939,1,-2,3,31,-2,-2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
900042,1939,1,-2,3,63,-2,-2,136,0,12,8,0,2,3,8,-2,4,6,-2,3,7
900043,1938,1,-2,9,84,-2,2,200,-2,NA,9,7,1,2,10,-2,8,5,-2,1,10
900054,1939,1,2005,4,89,-2,-2,247,0,3,6,0,3,NA,NA,NA,NA,NA,NA,NA,NA
900069,1939,1,-2,8,100,3,10,110,0,2,8,0,6,3,6,-2,4,9,-2,1,24
900071,1940,1,-2,9,-3,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900074,1939,2,1994,6,26,-2,-2,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900075,1939,2,-2,4,20,-2,-2,0,0,2,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA
900078,1939,2,-2,7,68,-2,-2,14,-2,6,10,4,8,4,9,-2,16,8,-2,2,3
900079,1939,1,2014,2,28,-2,0,50,0,2,6,0,0,4,10,-2,NA,NA,NA,NA,NA
900083,1939,1,1999,5,56,-2,-2,130,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900094,1939,2,-2,4,56,-2,-3,-3,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
900096,1939,1,2017,9,91,3,6,300,0,1,11,0,NA,4,4,-2,4,NA,NA,NA,NA
900101,1939,2,-2,3,80,-2,-2,50,-2,6,-2,-2,6,2,-30,-30,4,NA,NA,NA,NA
900106,1939,1,2020,4,44,3,5,140,0,0,8,0,1,2,7,-2,0,NA,NA,NA,NA
900115,1939,2,2010,2,40,-2,2,0,7,6,9,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
900117,1939,2,-2,3,-3,-2,-2,6,0,4,6,0,4,2,6,-2,4,5,0,1,2
900126,1939,1,2013,7,68,-2,-3,-3,0,NA,7,0,10,5,0,-2,NA,NA,NA,NA,NA
900134,1939,2,-2,2,14,2,5,155,0,NA,2,0,2,1,4,-2,3,4,-2,1,4
900145,1939,1,-2,2,31,2,4,135,0,1,10,0,1,2,5,5,2,4,-2,1,15
900147,1939,1,-2,2,4,-2,-2,135,0,4,5,-2,4,4,6,-2,-29,0,-2,1,0
900148,1939,1,-2,4,-3,2,4,170,0,1,NA,NA,1,6,7,-2,-29,8,-2,1,0
900151,1939,1,-2,4,42,-2,-2,100,0,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
900154,1939,2,2020,7,60,-2,-2,80,-2,7,-2,-2,NA,1,-2,-2,NA,NA,NA,NA,NA
900159,1939,2,-2,5,103,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
